mach,coluna,impresso,recalculado,diferenca
3.0,L15,-0.000204,-0.00020452225362504334,-5.222536250433366e-07
3.0,L25,-0.000405,-0.00040529450448914073,-2.945044891407506e-07
4.0,GYRO,2.289,2.284818416767981,-0.004181583232019115
4.0,SBAR,1.197,1.196561016842416,-0.00043898315758417183
4.0,SBAR5,1.234,1.2333313391686598,-0.0006686608313402065
4.0,SPIN,2445.9,2445.985528322329,0.08552832232908258
4.0,W1,188.22,188.1905059761197,-0.029494023880289433
4.0,W2,26.84,26.898414998288995,0.058414998288995434
4.0,L1,-0.00022,-0.00022037695194965462,-3.7695194965461335e-07
4.0,L2,-0.000383,-0.0003827625957637929,2.3740423620710735e-07
4.0,L15,-0.000206,-0.00020597244426860288,2.7555731397116987e-08
4.0,L25,-0.000397,-0.00039716710344484457,-1.6710344484456878e-07
5.0,GYRO,2.313,2.309482123815552,-0.003517876184448099
5.0,SBAR,1.189,1.1890031001932144,3.100193214367053e-06
5.0,SBAR5,1.227,1.226119319391694,-0.0008806806083061502
5.0,SPIN,3057.4,3057.4819104029116,0.08191040291148965
5.0,W1,235.69,235.65621828456034,-0.03378171543965891
5.0,W2,33.14,33.204932933450536,0.0649329334505353
5.0,L1,-0.000222,-0.00022180745636546695,1.9254363453304795e-07
5.0,L2,-0.000375,-0.000374654880947244,3.4511905275600016e-07
5.0,L15,-0.000207,-0.00020746244270357717,-4.624427035771763e-07
5.0,L25,-0.000389,-0.00038899989460913374,1.0539086628142541e-10
